season,week,game_type,home_team,away_team,elo_home_pre,elo_away_pre,home_rest,away_rest,div_game,home_team_win,elo_diff,week_norm,sample_weight
1999,6,REG,DEN,GB,1449.1967,1534.0642,7,7,0,1,-42.66750000000006,0.2857142857142857,1.0
1999,6,REG,DET,MIN,1497.2532,1477.2218,7,7,1,1,62.23140000000008,0.2857142857142857,1.0
1999,6,REG,JAX,CLE,1555.9722,1405.9678,6,7,1,1,192.20440000000002,0.2857142857142857,1.0
1999,6,REG,NE,MIA,1549.474,1539.0234,7,7,1,0,52.6505999999999,0.2857142857142857,1.0
1999,6,REG,NO,TEN,1453.8756,1551.8648,7,7,0,0,-55.78919999999998,0.2857142857142857,1.0
1999,6,REG,NYJ,IND,1444.8307,1501.0265,6,7,1,0,-13.99579999999996,0.2857142857142857,1.0
1999,6,REG,LAC,SEA,1539.2346,1544.3011,7,14,1,1,37.1335000000001,0.2857142857142857,1.0
1999,6,REG,SF,CAR,1526.6779,1464.3438,7,14,1,0,104.53409999999981,0.2857142857142857,1.0
1999,6,REG,NYG,DAL,1478.2239,1527.2437,8,8,1,1,-6.819800000000029,0.2857142857142857,1.0
1999,7,REG,BAL,KC,1484.8786,1522.3882,11,11,0,0,4.6903999999999115,0.3333333333333333,1.0
1999,7,REG,CAR,DET,1490.186,1513.7087,7,7,0,0,18.677300000000017,0.3333333333333333,1.0
1999,7,REG,DAL,WAS,1506.8512,1557.1959,6,7,1,1,-8.144699999999872,0.3333333333333333,1.0
1999,7,REG,IND,CIN,1520.2213,1428.0694,7,7,0,1,134.35189999999983,0.3333333333333333,1.0
1999,7,REG,MIA,PHI,1562.0312,1475.7649,7,7,0,1,128.4663,0.3333333333333333,1.0
1999,7,REG,MIN,SF,1460.7663,1500.8357,7,7,0,1,2.130599999999916,0.3333333333333333,1.0
1999,7,REG,NE,DEN,1526.4662,1471.6406,7,7,0,1,97.02560000000013,0.3333333333333333,1.0
1999,7,REG,NYG,NO,1498.6164,1437.0598,6,7,0,1,103.75660000000012,0.3333333333333333,1.0
1999,7,REG,LV,NYJ,1505.9356,1425.6359,7,7,0,1,122.49970000000003,0.3333333333333333,1.0
1999,7,REG,LAC,GB,1557.1051,1511.6203,7,7,0,0,87.68479999999995,0.3333333333333333,1.0
1999,7,REG,SEA,BUF,1526.4306,1527.3667,7,7,0,1,41.26389999999988,0.3333333333333333,1.0
1999,7,REG,LA,CLE,1582.6558,1396.0262,7,7,0,1,228.82959999999997,0.3333333333333333,1.0
1999,7,REG,TB,CHI,1479.4321,1491.5355,14,7,1,1,30.096600000000038,0.3333333333333333,1.0
1999,7,REG,PIT,ATL,1500.7624,1436.721,8,8,0,1,106.24140000000007,0.3333333333333333,1.0
1999,8,REG,ARI,NE,1467.498,1541.0218,14,7,0,0,-31.323799999999935,0.38095238095238093,1.0
1999,8,REG,ATL,CAR,1422.653,1469.1119,6,7,1,1,-4.258900000000082,0.38095238095238093,1.0
1999,8,REG,BAL,BUF,1464.6086,1509.7309,10,7,0,0,-2.922299999999993,0.38095238095238093,1.0
1999,8,REG,CIN,JAX,1415.4396,1565.9138,7,14,1,0,-108.2742000000001,0.38095238095238093,1.0
1999,8,REG,DEN,MIN,1457.085,1480.6437,7,7,0,0,18.64129999999996,0.38095238095238093,1.0
1999,8,REG,DET,TB,1534.7828,1497.7039,7,7,1,1,79.27889999999998,0.38095238095238093,1.0
1999,8,REG,IND,DAL,1532.8511,1527.32,7,7,0,1,47.731100000000154,0.38095238095238093,1.0
1999,8,REG,KC,LAC,1542.6582,1532.1621,10,7,1,1,52.69610000000007,0.38095238095238093,1.0
1999,8,REG,NO,CLE,1422.8611,1387.5751,7,7,0,0,77.48600000000006,0.38095238095238093,1.0
1999,8,REG,LV,MIA,1519.1623,1574.9556,7,7,0,0,-13.593300000000042,0.38095238095238093,1.0
1999,8,REG,PHI,NYG,1462.8405,1512.8151,7,7,1,0,-7.774600000000007,0.38095238095238093,1.0
1999,8,REG,TEN,LA,1568.6806,1591.1069,14,7,0,1,19.77369999999992,0.38095238095238093,1.0
1999,8,REG,WAS,CHI,1536.7271,1473.2637,7,7,0,1,105.6634000000001,0.38095238095238093,1.0
1999,8,REG,GB,SEA,1536.5633,1544.0664,8,8,0,0,34.6969000000001,0.38095238095238093,1.0
1999,9,REG,ATL,JAX,1442.8981,1579.8753,7,7,0,0,-94.77719999999981,0.42857142857142855,1.0
1999,9,REG,CAR,PHI,1448.8668,1443.288,7,7,0,1,47.778800000000004,0.42857142857142855,1.0
1999,9,REG,CLE,BAL,1411.963,1444.7768,7,7,1,0,9.386199999999874,0.42857142857142855,1.0
1999,9,REG,DET,LA,1550.2967,1572.2439,7,7,0,1,20.252800000000164,0.42857142857142855,1.0
1999,9,REG,GB,CHI,1514.5726,1459.1653,6,7,1,0,97.60730000000008,0.42857142857142855,1.0
1999,9,REG,IND,KC,1550.1206,1559.6478,7,7,0,1,32.67280000000001,0.42857142857142855,1.0
1999,9,REG,MIA,TEN,1594.1735,1587.5436,7,7,0,1,48.82990000000014,0.42857142857142855,1.0
1999,9,REG,NO,TB,1398.4732,1482.19,7,7,0,0,-41.516800000000146,0.42857142857142855,1.0
1999,9,REG,NYJ,ARI,1412.4092,1449.2963,14,7,0,1,5.312900000000084,0.42857142857142855,1.0
1999,9,REG,LAC,DEN,1515.1725,1436.0129,7,7,1,0,121.35959999999996,0.42857142857142855,1.0
1999,9,REG,SEA,CIN,1566.0571,1401.4781,6,7,0,1,206.77899999999994,0.42857142857142855,1.0
1999,9,REG,SF,PIT,1480.9583,1514.8304,14,13,0,0,8.327899999999957,0.42857142857142855,1.0
1999,9,REG,WAS,BUF,1550.8255,1529.5627,7,7,0,0,63.46279999999997,0.42857142857142855,1.0
1999,9,REG,MIN,DAL,1501.7158,1510.0505,8,8,0,1,33.86529999999989,0.42857142857142855,1.0
1999,10,REG,ARI,DET,1429.6021,1569.1322,7,7,0,1,-97.33009999999994,0.47619047619047616,1.0
1999,10,REG,BUF,MIA,1553.1758,1611.381,7,7,1,1,-16.0052000000001,0.47619047619047616,1.0
1999,10,REG,CHI,MIN,1484.6407,1519.7725,7,6,1,0,7.068199999999891,0.47619047619047616,1.0
1999,10,REG,CIN,TEN,1392.15,1570.3361,7,7,1,0,-135.9860999999999,0.47619047619047616,1.0
1999,10,REG,DAL,GB,1491.9938,1489.0972,6,7,0,1,45.09660000000004,0.47619047619047616,1.0
1999,10,REG,JAX,BAL,1594.5509,1465.317,7,7,1,1,171.43389999999994,0.47619047619047616,1.0
